UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,energy_consumption_kwh,power_state,power_state_numeric,power_quality_factor,on_diesel,actual_energy_kwh,grid_emissions_kg_co2,diesel_emissions_kg_co2,total_emissions_kg_co2,energy_cost_usd,energy_cost_ngn,maintenance_urgency,tropical_degradation_rate,Type_encoded
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,47.090926562037616,stable_grid,0,1.0,0,47.090926562037616,22.132735484157678,0.0,22.132735484157678,3.7672741249630093,5650.911187444514,15.441748772784276,0.0,1
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,46.827448996290414,brownout,1,0.75,0,49.168821446104936,23.10934607966932,0.0,23.10934607966932,3.933505715688395,5900.258573532593,16.597426778949725,0.19384284740574964,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,49.804578429063014,stable_grid,0,1.0,0,49.804578429063014,23.408151861659615,0.0,23.408151861659615,3.984366274325041,5976.549411487562,17.12210558602205,0.12922856493716642,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,44.163387313871766,brownout,1,0.75,0,46.37155667956536,21.794631639395718,0.0,21.794631639395718,3.709724534365229,5564.586801547844,16.31257707152346,0.12922856493716642,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,44.142740995903374,stable_grid,0,1.0,0,44.142740995903374,20.747088268074585,0.0,20.747088268074585,3.53141927967227,5297.128919508405,15.897923937419016,0.12922856493716642,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,45.34160927915575,diesel_gen,3,0.95,1,45.795025371947304,0.0,36.819200399045634,36.819200399045634,20.607761417376288,30911.64212606443,26.755935761500595,0.12922856493716642,1
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,47.58195309943944,stable_grid,0,1.0,0,47.58195309943944,22.363517956736533,0.0,22.363517956736533,3.806556247955155,5709.834371932733,17.81620171993226,0.19384284740574964,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,46.1004188090223,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.669981804021333,0.12922856493716642,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,41.56283201853903,stable_grid,0,1.0,0,41.56283201853903,19.53453104871334,0.0,19.53453104871334,3.325026561483122,4987.539842224683,16.474861953368457,0.12922856493716642,1
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,42.02138809432748,brownout,1,0.75,0,44.122457499043854,20.73755502455061,0.0,20.73755502455061,3.5297965999235084,5294.694899885262,17.788505907316896,0.19384284740574964,1
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,40.02002023681948,stable_grid,0,1.0,0,40.02002023681948,18.80940951130515,0.0,18.80940951130515,3.201601618945558,4802.402428418337,16.91756980110822,0.19384284740574964,2
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,47.20551223543616,stable_grid,0,1.0,0,47.20551223543616,22.186590750654993,0.0,22.186590750654993,3.7764409788348927,5664.661468252339,20.064303194834736,0.32307141234291603,2
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,49.29445387332366,stable_grid,0,1.0,0,49.29445387332366,23.16839332046212,0.0,23.16839332046212,3.943556309865893,5915.33446479884,21.53980911388959,0.32307141234291603,1
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,43.78263998753385,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.078102852894425,0.19384284740574964,1
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,39.5375050349079,stable_grid,0,1.0,0,39.5375050349079,18.58262736640671,0.0,18.58262736640671,3.1630004027926324,4744.500604188948,19.288990839402373,0.19384284740574964,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,51.87153647532267,brownout,1,0.75,0,54.465113299088806,25.59860325057174,0.0,25.59860325057174,4.357209063927105,6535.813595890657,24.500160083053803,0.12922856493716642,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,47.17369510861662,stable_grid,0,1.0,0,47.17369510861662,22.17163670104981,0.0,22.17163670104981,3.7738956086893296,5660.843413033995,22.425411432594572,0.12922856493716642,1
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,48.44778740850377,stable_grid,0,1.0,0,48.44778740850377,22.77046008199677,0.0,22.77046008199677,3.875822992680302,5813.734489020453,23.317511750360257,0.19384284740574964,1
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,51.05727513343175,stable_grid,0,1.0,0,51.05727513343175,23.996919312712922,0.0,23.996919312712922,4.0845820106745405,6126.873016011811,24.647506205516507,0.19384284740574964,2
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,44.737769144982295,brownout,1,0.75,0,46.97465760223141,22.078089073048762,0.0,22.078089073048762,3.757972608178513,5636.95891226777,24.099274789526994,0.32307141234291603,1
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,46.92469996807914,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.634649476104055,0.19384284740574964,2
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,49.445906277371776,stable_grid,0,1.0,0,49.445906277371776,23.239575950364735,0.0,23.239575950364735,3.955672502189742,5933.508753284613,26.174452633231745,0.32307141234291603,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,43.464720918719124,stable_grid,0,1.0,0,43.464720918719124,20.428418831797988,0.0,20.428418831797988,3.47717767349753,5215.766510246295,24.529346967098956,0.12922856493716642,1
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,42.3250045685248,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.405714691189516,0.19384284740574964,0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,47.27140665180579,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,29.668310424569167,0.12922856493716642,1
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,41.813231574442064,stable_grid,0,1.0,0,41.813231574442064,19.652218839987768,0.0,19.652218839987768,3.3450585259553653,5017.587788933048,25.252623512620893,0.19384284740574964,0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,47.77575249824022,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.6572824098141,0.12922856493716642,0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,42.39856965639054,stable_grid,0,1.0,0,42.39856965639054,19.927327738503553,0.0,19.927327738503553,3.3918855725112436,5087.828358766866,26.076974816893667,0.12922856493716642,2
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,49.87496598265952,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.590034211591124,0.32307141234291603,0
